,price,Address,area,Bedrooms,Bathrooms,neworold,type_of_building,Address_Values
1,3500000.0,"Ambernath, Mumbai, Maharashtra",740.0,2,2,0,0,13.0
2,8000000.0,"Ambernath, Mumbai, Maharashtra",1343.0,3,3,0,0,13.0
3,5500000.0,"Ambernath, Mumbai, Maharashtra",1000.0,2,2,0,0,13.0
4,4000000.0,"Ambernath, Mumbai, Maharashtra",840.0,2,2,0,0,13.0
5,2800000.0,"Ambernath, Mumbai, Maharashtra",675.0,2,2,0,0,13.0
6,5200000.0,"Ambernath, Mumbai, Maharashtra",900.0,2,2,0,0,13.0
7,6000000.0,"Ambernath, Mumbai, Maharashtra",1600.0,4,2,0,0,13.0
8,3700000.0,"Ambernath, Mumbai, Maharashtra",810.0,2,2,0,0,13.0
9,4000000.0,"Ambernath, Mumbai, Maharashtra",1120.0,2,2,1,0,13.0
10,16500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",648.0,2,2,0,0,81.0
11,15500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,1,0,81.0
12,45000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1840.0,4,4,0,0,81.0
13,16500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",930.0,2,2,0,0,81.0
14,27500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1089.0,2,2,0,0,81.0
15,25000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1075.0,2,3,0,0,81.0
16,17000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",650.0,2,2,0,0,81.0
17,23500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1350.0,2,2,0,0,81.0
18,24000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",847.0,2,2,0,0,81.0
19,21000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1100.0,2,2,0,0,81.0
20,21000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1198.0,2,2,0,0,81.0
21,20000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",731.0,2,2,1,0,81.0
23,17000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1025.0,2,2,0,0,81.0
24,30000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1325.0,3,3,0,0,81.0
25,25200000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",932.0,2,2,0,0,81.0
26,18000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",750.0,2,2,0,0,81.0
27,30000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1100.0,2,2,0,0,81.0
28,25000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1250.0,2,2,0,0,81.0
29,17000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",718.0,2,2,0,0,81.0
30,18000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,0,81.0
31,32500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1194.0,2,2,0,0,81.0
32,42000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1572.0,4,4,0,0,81.0
33,15500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,1,81.0
34,14000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",600.0,2,2,0,1,81.0
35,14000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,0,81.0
36,17500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",915.0,2,2,0,0,81.0
37,16000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",800.0,2,2,0,0,81.0
38,18500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",840.0,2,2,0,0,81.0
39,25000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",900.0,3,2,0,0,81.0
40,22500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",905.0,2,2,0,0,81.0
42,18500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",703.0,2,2,0,0,81.0
43,20000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,81.0
44,27500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1250.0,2,2,0,1,81.0
45,21000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",836.0,2,2,0,0,81.0
46,14500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",825.0,2,2,0,0,81.0
47,14000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",750.0,2,2,0,0,81.0
48,40000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1500.0,3,2,0,1,81.0
49,15000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",600.0,2,2,0,0,81.0
50,23000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1155.0,2,2,0,0,81.0
52,25000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",895.0,2,2,0,0,81.0
53,22500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1250.0,2,2,0,0,81.0
54,16500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",700.0,2,2,0,0,81.0
55,22500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1300.0,2,3,0,0,81.0
56,30000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1400.0,2,2,0,0,81.0
57,17000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",915.0,2,2,0,0,81.0
